username;date;retweets;favorites;text;hashtags
MassiBouagache;2016-07-08;0;0;Apr?s Merci #JacquieEtMichel voici Merci #NicolaRizzoli #FRAALL #ALLFRA #EURO2016;#JacquieEtMichel #NicolaRizzoli #FRAALL #ALLFRA #EURO2016
ac48stoandre;2016-07-08;0;0;. Acho que tenho ate sangue indio;
One_Matth;2016-07-08;0;0;Antes da #Euro2016 eu j? falava o time da #FRA ? emba?ado t? jogando em casa e a camisa ? linda;
GermanTenemaza;2016-07-08;0;0;Partidos finalizados #EURO2016 #Semifinal #Portugal 2-0 #Gales #Francia 2-0 #Alemania El domingo la Gran Final;#EURO2016 #Semifinal #Portugal #Gales #Francia #Alemania
Google_nnews;2016-07-08;0;0;Dimitri Payet? Hal Robson-Kanu? Pick the best goal of Euro 2016 so far: Vote now for your favourite goal of E... http:// fniq.a.boysofts.com/3R7w;
News13Omega;2016-07-08;0;0;ILUMINADO!!! NO MATCH DAY!!! http:// omegan1.blogspot.com.br/2016/07/uefa-e uro-2016_7.html ? #EURO2016 #UefaEuroNaOmega #Semifinal #GER #FRA pic.twitter.com/kYNS2iBaE6;#EURO2016 #UefaEuroNaOmega #Semifinal #GER #FRA
guido_parera;2016-07-08;0;0;tim yang berlaga di EURO 2016 adalah tim-tim terbaik;
LeDL_Grenoble;2016-07-08;2;3;? la Une du DL ce vendredi 8 juillet ! #ALLFRA #allezlafrance #Klaxons #Grenoble #EURO2016 pic.twitter.com/fPGUDp4NPW;#ALLFRA #allezlafrance #Klaxons #Grenoble #EURO2016
GoalTanzania;2016-07-08;0;0;Giroud: France cannot stop now as Euro 2016 final looms http:// dlvr.it/LlMLcj pic.twitter.com/68FMMEpOa4;
EBettingSystems;2016-07-08;0;0;Early betting odds favor France vs. Portugal in Euro 2016 final - http:// FOXSports.com http:// dlvr.it/LlMLNN;
rien_a_fooot;2016-07-08;0;9;Eh bien maintenant L?w peut m?me se les bouffer les couilles #ALLFRA #EURO2016 #Griezmann;#ALLFRA #EURO2016 #Griezmann
rodrigoadrianc2;2016-07-08;0;0;#FRA finiquit? su pase a la final #EURO2016 gracias al penalcito cobrado por Rizzoli. S?;
SN_CA_Soccer;2016-07-08;1;0;Giroud: France cannot stop now as Euro 2016 final looms http:// dlvr.it/LlMLHQ pic.twitter.com/RcQ4SMHIwO;
LaFougereBrune;2016-07-08;0;0;Ne pas s'estimer vainqueur trop vite pour la finale. Attention #EURO2016;#EURO2016
wildromeo;2016-07-08;0;0;France rejoices after reaching Euro 2016 final http:// dlvr.it/LlMLKD;
obetwib;2016-07-08;0;0;Kasian juga liat Joachim sedih liat tim pansernya ditekuk Prancis 2 - 0 .. Fair play yet great game too though. #EURO2016;#EURO2016
AdamHumphreys55;2016-07-08;0;0;Didier Deschamps urges France to retain their focus for Euro 2016 final - http:// wp.me/p7E7wf-2qd pic.twitter.com/2hWKsL9I0W;
GoalNews;2016-07-08;19;17;Giroud: France cannot stop now as Euro 2016 final looms http:// dlvr.it/LlML6b pic.twitter.com/CMJC9nERVz;
YohanRincon;2016-07-08;0;2;J'?tais pas serein au d?but du match limite je me faisais pipi dessus #EURO2016 #FRAALL;#EURO2016 #FRAALL
AmaCoronthie;2016-07-08;0;0;Euro2016 : La France bat l?Allemagne et se qualifie pour la finale: Gr?ce ? un? http:// dlvr.it/LlML1p #Guinee pic.twitter.com/iw5rs3YWcf;#Guinee
GuineeTime;2016-07-08;0;0;Euro2016 : La France bat l?Allemagne et se qualifie pour la finale: Gr?ce ? un? http:// dlvr.it/LlML1k #Guinee pic.twitter.com/he1K9qr3qS;#Guinee
bunpiyatid;2016-07-08;0;0;??? !!!! ??????????????????????? (????????????????????????????????? ????????????????????) ???????? EURO2016 ?? https:// twitter.com/AFP/status/751 190796708286464 ?;
joharis1977;2016-07-08;0;0;Euro 2016 - France vs Protugal;
OWSTimes;2016-07-08;1;0;Euro 2016 and France's Great Hope http:// dlvr.it/LlML2g - #ows;#ows
AdLrnt9;2016-07-08;0;2;Victoire 2/0 face ? l'Allemagne que c'est bon !!!! On est en finale !!! #FRA #EURO2016 @Thomaslrnt09 pic.twitter.com/1AgG8LEyfL;#FRA #EURO2016
T_SHIRT2016;2016-07-08;0;0;Croatia Away Jersey Euro 2016 New #EURO2016 pic.twitter.com/fjrhbrPkz8;#EURO2016
Gunawaaann;2016-07-08;0;0;France's Euro 2016 semi-final hero Antoine Griezmann wants to 'finish with a flourish' as he gears up for sho... http:// dailym.ai/29AjY2H;
Gunawaaann;2016-07-08;0;0;Nicola Rizzoli took his time but he was right to award France a penalty against Germany in their Euro 2016 se... http:// dailym.ai/29yd1O5;
ShinShinzz;2016-07-08;0;2;So happy France are through #EURO2016;#EURO2016
kwamemoments;2016-07-08;0;0;France's Euro 2016 semi-final hero Antoine Griezmann wants to 'finish with a flourish' as he gears up for sho... http:// dailym.ai/29AjY2H;
kwamemoments;2016-07-08;0;1;Nicola Rizzoli took his time but he was right to award France a penalty against Germany in their Euro 2016 se... http:// dailym.ai/29yd1O5;
T_SHIRT2016;2016-07-08;0;0;Euro Cup 2016: the definitive Football kits list #EURO2016 pic.twitter.com/VIEbY5tFos;#EURO2016
Airforce1931;2016-07-08;1;1;????? ?????? ????? ???????? 2-0 ????? ???? ???? - ??? ????? #Euro2016 http:// fb.me/4xHsEHqs2;#Euro2016
gremlins2012;2016-07-08;0;0;Euro-2016 : Mais qui est-ce? Superman? Batman? Non: Griezmann! http:// n.mynews.ly/!IB.EEU_Q via @NewsRepublic_fr;
salkhan5;2016-07-08;0;0;I liked a @YouTube video from @spencerowen http:// youtu.be/s4g6e3OlW4o?a PORTUGAL VS WALES - EURO 2016 SEMI FINAL! RONALDO VS BALE!;
Sanogology;2016-07-08;0;1;#EURO2016 has been shite.;#EURO2016
tuitFrance;2016-07-08;0;0;Euro 2016 : l?gers incidents sur les Champs-Elys?es apr?s Allemagne-France http:// f.tusueldo.com/29N;
IsabelaParis;2016-07-08;1;7;RT @YahooSportFR L'incroyable clapping des Bleus avec le Velodrome #ALLFRA http:// yhoo.it/29xjo2A #EURO2016 #foot https:// twitter.com/yahoosportfr/s tatus/751178237703757824 ?;#ALLFRA #EURO2016 #foot
TagTheBird_es;2016-07-08;0;0;. @AntoGriezmann tumba a Alemania y mete a Francia en la final de la #EURO2016 http:// bit.ly/29uqLZN pic.twitter.com/fwhV7xXaIA;#EURO2016
DoctorAdvice4u;2016-07-08;0;0;* #EURO2016 Championship game : Portugal vs France - Should be good. pic.twitter.com/87bInzDQoQ;#EURO2016
T_SHIRT2016;2016-07-08;0;0;England Euro 2016 Kit #EURO2016 pic.twitter.com/n4jvvmriCN;#EURO2016
parisien_17;2016-07-08;1;3;Permis ajrd'hui et une place en final c'est pas Beau? #FRA #EURO2016 #Permis;#FRA #EURO2016 #Permis
Salimpsg10;2016-07-08;0;0;@equipedefrance @EURO2016 #FRAPOR #SavoureLinstant;#FRAPOR #SavoureLinstant
14crown466;2016-07-08;0;0;#goal Giroud: France cannot stop now as Euro 2016 final looms http:// dlvr.it/LlMKvY ? https:// twitter.com/goal/status/75 1203689260412928 ? pic.twitter.com/UIUfZjLvnw;#goal
lunadahlhaus;2016-07-08;0;0;Sehr unverdient gewonnen;
freebigbetssky;2016-07-08;0;0;France's Euro 2016 semi-final hero Antoine Griezmann wants to 'finish with a flourish' as he gears up for sho... http:// dailym.ai/29AjY2H;
